 Length , Weight (g) 
 7.00 , 33.00 
 7.20 , 32.00 
 7.20 , 30.00 
 7.30 , 35.00 
 7.30 , 34.00 
 7.30 , 35.00 
 7.30 , 34.00 
 7.40 , 35.00 
 7.40 , 37.00 
 7.40 , 35.00 
 7.40 , 38.00 
 7.40 , 34.00 
 7.40 , 35.00 
 7.40 , 35.00 
 7.40 , 32.00 
 7.40 , 33.00 
 7.40 , 32.00 
 7.40 , 34.00 
 7.40 , 34.00 
 7.40 , 35.00 
 7.40 , 37.00 
 7.40 , 31.00 
 7.50 , 40.00 
 7.50 , 30.00 
 7.50 , 39.00 
 7.50 , 32.00 
 7.50 , 38.00 
 7.50 , 40.00 
 7.50 , 30.00 
 7.50 , 31.00 
 7.50 , 31.00 
 7.50 , 30.00 
 7.50 , 32.00 
 7.50 , 36.00 
 7.50 , 31.00 
 7.50 , 33.00 
 7.50 , 34.00 
 7.50 , 31.00 
 7.50 , 31.00 
 7.50 , 34.00 
 7.50 , 34.00 
 7.50 , 35.00 
 7.50 , 30.00 
 7.50 , 32.00 
 7.50 , 30.00 
 7.60 , 33.00 
 7.60 , 34.00 
 7.60 , 35.00 
 7.60 , 38.00 
 7.60 , 25.00 
 7.60 , 25.00 
 7.60 , 32.00 
 7.60 , 39.00 
 7.60 , 39.00 
 7.60 , 41.00 
 7.60 , 41.00 
 7.60 , 38.00 
 7.60 , 33.00 
 7.60 , 38.00 
 7.60 , 34.00 
 7.60 , 35.00 
 7.60 , 38.00 
 7.60 , 34.00 
 7.60 , 33.00 
 7.60 , 34.00 
 7.60 , 35.00 
 7.60 , 38.00 
 7.60 , 30.00 
 7.60 , 35.00 
 7.60 , 32.00 
 7.60 , 33.00 
 7.60 , 34.00 
 7.60 , 32.00 
 7.60 , 31.00 
 7.60 , 35.00 
 7.60 , 30.00 
 7.60 , 30.00 
 7.60 , 36.00 
 7.60 , 34.00 
 7.60 , 36.00 
 7.60 , 34.00 
 7.60 , 32.00 
 7.60 , 50.00 
 7.70 , 30.00 
 7.70 , 42.00 
 7.70 , 41.00 
 7.70 , 36.00 
 7.70 , 38.00 
 7.70 , 37.00 
 7.80 , 40.00 
 7.80 , 36.00 
 7.80 , 49.00 
 7.80 , 42.00 
 7.80 , 35.00 
 7.80 , 32.00 
 7.80 , 36.00 
 7.80 , 44.00 
 7.80 , 57.00 
 7.80 , 60.00 
 7.80 , 35.00 
 7.80 , 30.00 
 7.80 , 35.00 
 7.80 , 33.00 
 7.80 , 34.00 
 7.80 , 36.00 
 7.80 , 36.00 
 7.80 , 32.00 
 7.80 , 36.00 
 7.80 , 40.00 
 7.80 , 35.00 
 7.80 , 31.00 
 7.80 , 31.00 
 7.80 , 34.00 
 7.80 , 30.00 
 7.80 , 34.00 
 7.80 , 30.00 
 7.80 , 31.00 
 7.80 , 37.00 
 7.80 , 31.00 
 7.80 , 35.00 
 7.80 , 49.00 
 7.80 , 42.00 
 7.80 , 34.00 
 7.80 , 34.00 
 7.80 , 34.00 
 7.80 , 35.00 
 7.80 , 34.00 
 7.80 , 33.00 
 7.80 , 36.00 
 7.90 , 30.00 
 7.90 , 37.00 
 7.90 , 26.00 
 7.90 , 45.00 
 7.90 , 41.00 
 7.90 , 42.00 
 7.90 , 39.00 
 7.90 , 44.00 
 7.90 , 30.00 
 7.90 , 32.00 
 7.90 , 36.00 
 7.90 , 34.00 
 7.90 , 37.00 
 8.00 , 46.00 
 8.00 , 40.00 
 8.00 , 32.00 
 8.00 , 51.00 
 8.00 , 99.00 
 8.00 , 33.00 
 8.00 , 26.00 
 8.00 , 44.00 
 8.00 , 43.00 
 8.00 , 45.00 
 8.00 , 35.00 
 8.00 , 46.00 
 8.00 , 40.00 
 8.00 , 51.00 
 8.00 , 40.00 
 8.00 , 60.00 
 8.00 , 29.00 
 8.10 , 46.00 
 8.10 , 31.00 
 8.10 , 46.00 
 8.10 , 26.00 
 8.10 , 49.00 
 8.10 , 48.00 
 8.10 , 29.00 
 8.10 , 32.00 
 8.10 , 43.00 
 8.10 , 46.00 
 8.10 , 48.00 
 8.10 , 34.00 
 8.10 , 42.00 
 8.10 , 52.00 
 8.10 , 42.00 
 8.10 , 46.00 
 8.10 , 46.00 
 8.10 , 49.00 
 8.10 , 48.00 
 8.10 , 45.00 
 8.10 , 44.00 
 8.10 , 40.00 
 8.10 , 32.00 
 8.20 , 47.00 
 8.20 , 30.00 
 8.20 , 30.00 
 8.20 , 55.00 
 8.20 , 50.00 
 8.20 , 51.00 
 8.20 , 26.00 
 8.20 , 37.00 
 8.20 , 33.00 
 8.20 , 29.00 
 8.20 , 47.00 
 8.20 , 54.00 
 8.20 , 38.00 
 8.20 , 40.00 
 8.20 , 48.00 
 8.20 , 48.00 
 8.20 , 50.00 
 8.20 , 47.00 
 8.20 , 51.00 
 8.20 , 55.00 
 8.20 , 30.00 
 8.20 , 30.00 
 8.30 , 48.00 
 8.30 , 40.00 
 8.30 , 40.00 
